epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,74.3699,0.77479,0.46882,0.96463,0.97845,0.95327,0.98437,0.82543,0.67076,0.44167,0.96118,0.00079705,0.00079705,0.00079705
43,75.9287,0.75626,0.46384,0.95709,0.92952,0.9486,0.97879,0.8274,0.64367,0.5153,0.9462,0.0007921,0.0007921,0.0007921
44,77.5022,0.71748,0.4474,0.92106,0.91558,0.91589,0.95889,0.77747,0.69426,0.70279,0.98818,0.00078715,0.00078715,0.00078715
45,79.0127,0.70134,0.43431,0.91732,0.93597,0.90654,0.95465,0.77361,0.71679,0.61962,0.99646,0.0007822,0.0007822,0.0007822
46,80.5443,0.70809,0.44237,0.93016,0.9448,0.95978,0.97865,0.80127,0.69396,0.49956,0.9778,0.00077725,0.00077725,0.00077725
47,82.0925,0.73149,0.45531,0.96054,0.9254,0.95794,0.98271,0.81478,0.67274,0.47371,0.96902,0.0007723,0.0007723,0.0007723
48,83.615,0.70252,0.43529,0.93158,0.95334,0.95471,0.98615,0.79584,0.70425,0.46036,0.98911,0.00076735,0.00076735,0.00076735
49,85.1633,0.73414,0.44492,0.94494,0.96513,0.96729,0.98632,0.7888,0.69084,0.41937,0.98064,0.0007624,0.0007624,0.0007624
50,86.6961,0.69849,0.42732,0.93079,0.96641,0.97196,0.98951,0.80865,0.67519,0.40147,0.97471,0.00075745,0.00075745,0.00075745
51,88.2171,0.73497,0.44206,0.92938,0.95109,0.97664,0.98635,0.80422,0.69106,0.41319,0.98609,0.0007525,0.0007525,0.0007525
52,89.73,0.72962,0.43604,0.9341,0.94468,0.95761,0.98505,0.80566,0.68556,0.41575,0.97267,0.00074755,0.00074755,0.00074755
53,91.2502,0.74059,0.46128,0.9607,0.94844,0.96729,0.98469,0.80037,0.69096,0.43484,0.9788,0.0007426,0.0007426,0.0007426
54,92.767,0.70407,0.43725,0.93491,0.97598,0.98131,0.98974,0.82216,0.65056,0.40365,0.95652,0.00073765,0.00073765,0.00073765
55,94.2787,0.69463,0.43541,0.92266,0.97524,0.97664,0.98328,0.81483,0.65854,0.39512,0.96592,0.0007327,0.0007327,0.0007327
56,95.8115,0.6768,0.41999,0.91931,0.97682,0.98474,0.98748,0.81795,0.6525,0.37824,0.96269,0.00072775,0.00072775,0.00072775
57,97.3362,0.69059,0.42421,0.94243,0.97692,0.98878,0.99069,0.83476,0.65128,0.37528,0.95642,0.0007228,0.0007228,0.0007228
58,98.8853,0.69488,0.43462,0.92913,0.9953,0.99,0.99312,0.83355,0.65556,0.36925,0.96267,0.00071785,0.00071785,0.00071785
59,100.41,0.69901,0.43432,0.91832,0.98601,0.98819,0.99298,0.83801,0.65545,0.36398,0.96233,0.0007129,0.0007129,0.0007129
60,101.969,0.7005,0.43711,0.93273,0.98603,0.98928,0.99239,0.84311,0.65014,0.36408,0.9622,0.00070795,0.00070795,0.00070795
61,103.541,0.68169,0.40858,0.9083,0.97509,0.99065,0.98238,0.81301,0.70085,0.37963,1.00396,0.000703,0.000703,0.000703
62,105.107,0.68688,0.41273,0.94055,0.96593,0.99065,0.98153,0.81969,0.68371,0.36567,0.98771,0.00069805,0.00069805,0.00069805
63,106.641,0.7032,0.41092,0.93272,0.98138,0.98525,0.98566,0.82702,0.65265,0.34607,0.95118,0.0006931,0.0006931,0.0006931
64,108.171,0.64656,0.39827,0.9259,0.9906,0.98497,0.99065,0.83432,0.65473,0.36358,0.94758,0.00068815,0.00068815,0.00068815
65,109.701,0.66951,0.39736,0.92374,0.9885,0.99065,0.99152,0.84044,0.64253,0.35339,0.94189,0.0006832,0.0006832,0.0006832
66,111.242,0.65873,0.39,0.90663,0.99064,0.98942,0.99111,0.84191,0.64542,0.35221,0.94339,0.00067825,0.00067825,0.00067825
67,112.784,0.70263,0.41627,0.94519,0.98348,0.99065,0.99216,0.83171,0.6577,0.36485,0.95136,0.0006733,0.0006733,0.0006733
68,114.298,0.68766,0.41957,0.92407,0.9731,0.98131,0.99108,0.82888,0.65398,0.36879,0.95534,0.00066835,0.00066835,0.00066835
69,115.845,0.67061,0.41268,0.93771,0.97228,0.98598,0.98893,0.82485,0.65038,0.36825,0.94841,0.0006634,0.0006634,0.0006634
70,117.388,0.67568,0.41284,0.92181,0.97244,0.99065,0.99001,0.82876,0.64817,0.35582,0.9546,0.00065845,0.00065845,0.00065845
